,R,cidx,C,m
442,0.271515152,0.04040404,1.49E-09,3.777949495
443,0.277979798,0.04040404,1.50E-09,3.777949495
444,0.284444444,0.04040404,1.52E-09,3.777949495
445,0.290909091,0.04040404,1.54E-09,3.777949495
446,0.297373737,0.04040404,1.55E-09,3.777949495
447,0.303838384,0.04040404,1.57E-09,3.777949495
448,0.31030303,0.04040404,1.59E-09,3.777949495
449,0.316767677,0.04040404,1.61E-09,3.777949495
450,0.323232323,0.04040404,1.63E-09,3.777949495
451,0.32969697,0.04040404,1.65E-09,3.777949495
452,0.336161616,0.04040404,1.66E-09,3.777949495
453,0.342626263,0.04040404,1.68E-09,3.777949495
454,0.349090909,0.04040404,1.70E-09,3.777949495
455,0.355555556,0.04040404,1.73E-09,3.777949495
456,0.362020202,0.04040404,1.75E-09,3.777949495
457,0.368484848,0.04040404,1.77E-09,3.777949495
458,0.374949495,0.04040404,1.79E-09,3.777949495
459,0.381414141,0.04040404,1.81E-09,3.777949495
460,0.387878788,0.04040404,1.84E-09,3.777949495
461,0.394343434,0.04040404,1.86E-09,3.777949495
462,0.400808081,0.04040404,1.88E-09,3.777949495
463,0.407272727,0.04040404,1.91E-09,3.777949495
464,0.413737374,0.04040404,1.93E-09,3.777949495
465,0.42020202,0.04040404,1.96E-09,3.777949495
466,0.426666667,0.04040404,1.99E-09,3.777949495
467,0.433131313,0.04040404,2.01E-09,3.777949495
468,0.43959596,0.04040404,2.04E-09,3.777949495
469,0.446060606,0.04040404,2.07E-09,3.777949495
470,0.452525253,0.04040404,2.10E-09,3.777949495
471,0.458989899,0.04040404,2.13E-09,3.777949495
472,0.465454545,0.04040404,2.16E-09,3.777949495
473,0.471919192,0.04040404,2.19E-09,3.777949495
474,0.478383838,0.04040404,2.23E-09,3.777949495
475,0.484848485,0.04040404,2.26E-09,3.777949495
476,0.491313131,0.04040404,2.30E-09,3.777949495
477,0.497777778,0.04040404,2.33E-09,3.777949495
478,0.504242424,0.04040404,2.37E-09,3.777949495
479,0.510707071,0.04040404,2.41E-09,3.777949495
480,0.517171717,0.04040404,2.45E-09,3.777949495
481,0.523636364,0.04040404,2.49E-09,3.777949495
482,0.53010101,0.04040404,2.53E-09,3.777949495
483,0.536565657,0.04040404,2.57E-09,3.777949495
484,0.543030303,0.04040404,2.61E-09,3.777949495
485,0.549494949,0.04040404,2.66E-09,3.777949495
486,0.555959596,0.04040404,2.71E-09,3.777949495
487,0.562424242,0.04040404,2.75E-09,3.777949495
488,0.568888889,0.04040404,2.80E-09,3.777949495
489,0.575353535,0.04040404,2.86E-09,3.777949495
490,0.581818182,0.04040404,2.91E-09,3.777949495
491,0.588282828,0.04040404,2.97E-09,3.777949495
492,0.594747475,0.04040404,3.02E-09,3.777949495
493,0.601212121,0.04040404,3.08E-09,3.777949495
494,0.607676768,0.04040404,3.14E-09,3.777949495
495,0.614141414,0.04040404,3.21E-09,3.777949495
496,0.620606061,0.04040404,3.27E-09,3.777949495
497,0.627070707,0.04040404,3.34E-09,3.777949495
498,0.633535354,0.04040404,3.41E-09,3.777949495
499,0.64,0.04040404,3.49E-09,3.777949495
500,0,0.050505051,1.24E-09,3.757686869
501,0.006464646,0.050505051,1.25E-09,3.757686869
502,0.012929293,0.050505051,1.26E-09,3.757686869
503,0.019393939,0.050505051,1.27E-09,3.757686869
504,0.025858586,0.050505051,1.28E-09,3.757686869
505,0.032323232,0.050505051,1.29E-09,3.757686869
506,0.038787879,0.050505051,1.30E-09,3.757686869
507,0.045252525,0.050505051,1.31E-09,3.757686869
508,0.051717172,0.050505051,1.32E-09,3.757686869
509,0.058181818,0.050505051,1.33E-09,3.757686869
510,0.064646465,0.050505051,1.34E-09,3.757686869
511,0.071111111,0.050505051,1.35E-09,3.757686869
512,0.077575758,0.050505051,1.37E-09,3.757686869
513,0.084040404,0.050505051,1.38E-09,3.757686869
514,0.090505051,0.050505051,1.39E-09,3.757686869
515,0.096969697,0.050505051,1.40E-09,3.757686869
516,0.103434343,0.050505051,1.41E-09,3.757686869
517,0.10989899,0.050505051,1.43E-09,3.757686869
518,0.116363636,0.050505051,1.44E-09,3.757686869
519,0.122828283,0.050505051,1.45E-09,3.757686869
520,0.129292929,0.050505051,1.46E-09,3.757686869
521,0.135757576,0.050505051,1.48E-09,3.757686869
522,0.142222222,0.050505051,1.49E-09,3.757686869
523,0.148686869,0.050505051,1.50E-09,3.757686869
524,0.155151515,0.050505051,1.52E-09,3.757686869
