,m
1264,3.7982121212121163
1265,3.7982121212121163
1266,3.798212121212116
1267,3.798212121212116
1268,3.798212121212116
1269,3.7982121212121154
1270,3.7982121212121154
1271,3.7982121212121154
1272,3.798212121212115
1273,3.798212121212115
1274,3.798212121212115
1275,3.7982121212121145
1276,3.7982121212121145
1277,3.7982121212121145
1278,3.798212121212114
1279,3.798212121212114
1280,3.798212121212114
1281,3.798212121212114
1282,3.7982121212121136
1283,3.7982121212121136
1284,3.7982121212121136
1285,3.798212121212113
1286,3.798212121212113
1287,3.798212121212113
1288,3.7982121212121127
1289,3.7982121212121127
1290,3.7982121212121127
1291,3.7982121212121123
1292,3.7982121212121123
1293,3.7982121212121123
1294,3.798212121212112
1295,3.798212121212112
1296,3.798212121212112
1297,3.7982121212121114
