dS,R,Seq,cidx,a,da,dai,dap
49.33466693,0.279921984,1.222636527,0.00560112,0.00914983,9.40E-06,7.68E-18,9.40E-06
15.29105821,-0.114266853,1.433602721,0.963592719,0.009941988,7.80E-07,1.12E-15,7.80E-07
59.73594719,0.038361672,1.305237047,0.147029406,0.016043209,1.90E-05,6.56E-17,1.90E-05
1.562712543,-0.162474495,1.437695539,0.458891778,0.004844969,5.41E-09,2.24E-15,5.41E-09
35.30386077,0.37390078,1.17984797,0.968793759,0.00144829,9.95E-07,5.30E-14,9.95E-07
68.69213843,0.030530106,1.301516303,0.400280056,0.002640528,4.60E-06,6.59E-15,4.60E-06
77.76595319,0.450824165,1.12254851,0.195239048,0.01095019,3.03E-05,1.87E-16,3.03E-05
63.0630126,0.002510502,1.561596319,0.912182436,0.005229046,7.27E-06,3.83E-15,7.27E-06
15.94638928,0.362240448,1.746145229,0.330266053,0.011942388,1.59E-06,2.66E-16,1.59E-06
48.17523505,0.28409882,1.672846569,0.297659532,0.004104821,4.29E-06,2.03E-15,4.29E-06
2.335667133,0.255383077,1.413138628,0.797359472,0.013858772,4.75E-08,4.77E-16,4.75E-08
20.71854371,-0.16195239,1.784096819,0.536307261,0.015803161,1.95E-06,2.47E-16,1.95E-06
44.93218644,0.014344869,1.291470294,0.953190638,0.007985597,5.78E-06,1.72E-15,5.78E-06
29.30506101,-0.09964793,0.990462092,0.554510902,0.017123425,4.42E-06,2.17E-16,4.42E-06
35.75755151,0.144696939,0.353842769,0.693538708,0.000140028,4.06E-12,4.06E-12,9.72E-08
25.08741748,-0.149421884,0.853166633,0.424684937,0.000824165,1.83E-07,7.18E-14,1.83E-07
7.0070014,0.542366473,1.826141228,0.326265253,0.011118224,3.96E-07,3.03E-16,3.96E-07
41.13462693,0.348317664,0.96330066,0.409081816,0.003876775,3.21E-06,3.13E-15,3.21E-06
62.82776555,-0.193278656,1.148593719,0.931586317,0.005717143,5.64E-06,3.27E-15,5.64E-06
80.16883377,0.551242248,0.274218844,0.731946389,0.014674935,4.74E-05,3.90E-16,4.74E-05
58.03880776,-0.062230446,1.080132026,0.025405081,0.018939788,1.83E-05,8.13E-18,1.83E-05
32.14482897,0.215877175,1.218915783,0.156831366,0.011682336,5.07E-06,1.32E-16,5.07E-06
59.33266653,-0.055095019,0.731870374,0.376275255,0.008769754,9.48E-06,5.62E-16,9.48E-06
81.29465893,0.506515303,1.26244849,0.613722745,0.015043009,4.70E-05,3.11E-16,4.70E-05
23.03740748,0.313858772,1.483088618,0.24064813,0.011262252,2.86E-06,2.18E-16,2.86E-06
75.69913983,0.259907982,1.852930586,0.036407281,0.010066013,2.23E-05,4.13E-17,2.23E-05
58.74454891,0.201780356,1.444764953,0.620124025,0.013930786,1.80E-05,3.67E-16,1.80E-05
62.87817564,0.634256851,0.174130826,0.472294459,0.008845769,2.13E-05,6.93E-16,2.13E-05
59.26545309,0.505645129,1.568665733,0.75215043,0.019007802,3.25E-05,2.39E-16,3.25E-05
51.92238448,0.204738948,0.442396479,0.983596719,0.004624925,5.18E-06,5.28E-15,5.18E-06
22.16363273,0.389911982,0.026045209,0.902380476,0.011326265,2.87E-06,8.08E-16,2.87E-06
83.78155631,0.43220244,0.783216643,0.876775355,0.01815163,5.44E-05,3.06E-16,5.44E-05
6.721344269,0.181940388,0.86135227,0.944188838,0.004840968,1.20E-07,4.63E-15,1.20E-07
5.49469894,0.275745149,0.767217443,0.647329466,0.00974995,1.70E-07,7.82E-16,1.70E-07
4.167233447,0.473622725,1.237891578,0.132626525,0.005389078,7.11E-08,5.24E-16,7.11E-08
77.63152631,0.161230246,1.388953791,0.331066213,0.018995799,3.91E-05,1.05E-16,3.91E-05
53.18263653,0.102754551,1.82204841,0.625525105,0.010218044,1.05E-05,6.88E-16,1.05E-05
72.94338868,-0.060664133,1.203288658,0.324064813,0.004980996,8.15E-06,1.50E-15,8.15E-06
11.05661132,0.072820564,0.346029206,0.311862372,0.010170034,5.58E-07,3.46E-16,5.58E-07
76.55611122,0.09909982,0.300264053,0.647929586,0.012658532,2.51E-05,4.64E-16,2.51E-05
1.209841968,-0.120706141,0.775403081,0.315863173,0.005481096,4.04E-09,1.21E-15,4.04E-09
8.300860172,0.129555911,1.042552511,0.056411282,0.008117624,2.76E-07,9.83E-17,2.76E-07
54.40928186,-0.032296459,1.825769154,0.178635727,0.017083417,1.56E-05,7.03E-17,1.56E-05
43.40308062,-0.155339068,1.477507502,0.301660332,0.001964393,1.12E-06,8.98E-15,1.12E-06
73.83396679,0.480584117,0.435327065,0.829765953,0.010554111,2.75E-05,8.55E-16,2.75E-05
28.44808962,0.432028406,0.116087217,0.178835767,0.002944589,1.36E-06,2.37E-15,1.36E-06
36.96739348,0.166103221,1.698519704,0.465693139,0.016075215,8.51E-06,2.07E-16,8.51E-06
52.67853571,0.22544909,1.745029006,0.361272254,0.014518904,1.56E-05,1.97E-16,1.56E-05
